sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
1418618235,1730327790,3,1,lLN2T_a,lLN2T_a(Tortuous)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1731626696,1,1,ORN_DL2v,ORN_DL2v_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1731631097,1,1,ORN_DL2d,ORN_DL2d_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1732995501,1,1,lLN2S,lLN2S(Star)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1733370882,2,1,M_spPN5t10,M_spPN5t10_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1734350788,1,1,DA1_lPN,DA1_lPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1734730862,1,1,ORN_D,ORN_D,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1735378236,1,1,ORN_DA1,ORN_DA1_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1752507924,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1762704980,7,4,lLN2P_c,lLN2P_c(Patchy)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1765040289,4,1,DA1_lPN,DA1_lPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1765109775,1,1,ORN_DC1,ORN_DC1_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1784203453,1,1,,(PVM01)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1785149074,2,2,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1795786203,1,1,ORN_DC1,ORN_DC1_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1796075469,1,1,ORN_DA1,ORN_DA1_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1796761826,1,1,ORN_DA1,ORN_DA1_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1811630361,1,1,LPLC2,LPLC2_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1825085656,1,1,M_lPNm11D,M_lPNm11D_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1825789179,1,1,lLN10,lLN10_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1850024931,1,1,VM4_lvPN,VM4_lvPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1850711304,1,1,VM1_lPN,VM1_lPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1858171556,3,2,lLN2P_c,lLN2P_c(Patchy)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1885782720,2,1,v2LN46,v2LN46_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1889556009,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1907699986,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1912789965,1,1,VL1_ilPN,VL1_ilPN,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1914823337,1,1,VC3l_adPN,VC3l_adPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1935027031,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1943812176,2,2,VP1m+VP2_lvPN2,VP1m+VP2_lvPN2_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1944287155,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1946178096,5,3,lLN2P_b,lLN2P_b(Patchy)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,1975878958,3,1,VP2_adPN,VP2_adPN_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2024569806,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2065503658,2,2,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2105086391,1,1,lLN2P_c,lLN2P_c(Patchy)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2127509511,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2131942930,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2154122802,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2155478189,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2165170658,1,1,ORN_VC3m,ORN_VC3m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2165852860,1,1,ORN_VC3m,ORN_VC3m,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2228194261,1,1,ORN_VL1,ORN_VL1_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2290259285,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2348310112,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2371497342,6,3,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,2378999926,3,3,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812979175,1,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812979188,2,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812979271,1,1,PAM06_a,PAM06_a(B'2m)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,DAN,R
1418618235,5812980426,2,2,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812980555,2,2,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812980567,1,1,PAM09,PAM09(B1ped)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,DAN,R
1418618235,5812980768,1,1,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812980787,2,1,KCab-m,KCab-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812980931,1,1,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812980947,1,1,KCab-m,KCab-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812981106,2,2,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812981127,1,1,KCab-m,KCab-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812981136,1,1,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812981616,1,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812981703,1,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812981797,1,1,KCa'b'-m,KCa'b'-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_prime_beta_prime,R
1418618235,5812981811,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812982192,1,1,KCab-m,KCab-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812982420,1,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812982471,2,1,KCab-s,KCab-s_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_alpha_beta,R
1418618235,5812983337,1,1,KCg-m,KCg-m_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,KC_gamma,R
1418618235,5812985952,1,1,PVLP097_a,PVLP097_a_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812986340,1,1,hDeltaI,hDeltaI_09_C8,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812987684,1,1,ExR7,ExR7(ring)_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812996052,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5812998445,1,1,ORN_DP1l,ORN_DP1l_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813000539,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813001426,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813002827,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813003621,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813003677,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813009281,1,1,LHPV5a4,LHPV5a4_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813009881,1,1,SMP485,SMP485_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813010683,1,1,SMP601,SMP601(SCB008)_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813011865,1,1,,(ADM04)_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813012769,2,2,hDeltaE,hDeltaE_13_C7,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813013194,1,1,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813014266,4,4,,,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813014777,1,1,FS3,FS3(FQ10)_C2_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813016553,1,1,FB8A,FB8A_L,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
1418618235,5813017914,1,1,AVLP222,AVLP222_R,,,,,,,target_to_SIFa,hemibrain:v1.2.1,other,R
