sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
10342,110544,2,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,111495,1,1,Tm4,Tm4_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,112729,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,113210,1,1,T5a,T5a_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,113833,1,1,MeLo12,MeLo12_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,115028,1,1,L5,L5_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,116019,1,1,TmY18,TmY18_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,116799,2,2,PS316,PS316_L,,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,117195,2,2,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,117483,2,2,Cm12,Cm12_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,117921,1,1,L5,L5_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,118422,1,1,MeTu2a,MeTu2a_L,"MC61,MC64",,,visual_projection,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,118476,1,1,T4a,T4a_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,119181,1,1,ORN_DM1,ORN_DM1_R,ORN_DM1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,119559,1,1,T4d,T4d_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,120894,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,121691,1,1,AN17A024,AN17A024_L,,,BA,ascending_neuron,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,122463,2,2,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,123442,1,1,T5b,T5b_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,128743,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,130122,3,2,FB7M,FB7M_R,FB7M,CX,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,130728,1,1,TmY18,TmY18_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,132860,1,1,T5b,T5b_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,133027,1,1,ORN_VM7d,ORN_VM7d_L,ORN_VM7d,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,133864,3,2,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,134499,1,1,T5d,T5d_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,134789,1,1,KCab-m,KCab-m_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,137440,4,3,SMP723m,SMP723m_R,,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,137802,2,1,LHPD3a5,LHPD3a5_L,LHPD3a5,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,138525,1,1,T2a,T2a_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,138634,1,1,KCg-m,KCg-m_L,KCg-m,Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_gamma,L
10342,138822,2,2,PAM11,PAM11(a1)_L,PAM11,DAN,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,DAN,L
10342,138875,1,1,KCab-m,KCab-m_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,140730,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,141688,1,1,Tm3,Tm3_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,143719,1,1,Tm3,Tm3_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,143806,2,2,KCab-m,KCab-m_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,145063,1,1,LHPD4b1,LHPD4b1_L,LHPD4b1,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,145198,1,1,JO-EV6,JO-EV6_L,,mechanosensory,wind_gravity,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,145592,3,2,FS2,FS2_C7_R,FS2,CX,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,148727,1,1,Dm2,Dm2_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,150256,1,1,SIP078,SIP078_L,SIP078,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,151525,2,1,JO-mz,JO-mz_L,,mechanosensory,wind_gravity,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,152471,2,2,Mi15,Mi15_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,152946,1,1,ORN_DA1,ORN_DA1_R,ORN_DA1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,153858,2,1,SLP405,SLP405_R,,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,154435,2,1,AN10B035,AN10B035_R,,,BA,ascending_neuron,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,154593,2,1,ORN_VC5,ORN_VC5_R,ORN_VC3m,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,155162,1,1,LHAV6a7,LHAV6a7_L,LHAV6a7,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,156803,2,2,SIP080,SIP080_L,SIP080,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,157213,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,157389,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,159021,1,1,FS3_c,FS3_c_C4_L,FS3,CX,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,159524,1,1,ORN_VA2,ORN_VA2_R,ORN_VA2,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,162635,1,1,ORN_VA2,ORN_VA2_R,ORN_VA2,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,164125,1,1,Tm9,Tm9_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,165557,1,1,CB4134,CB4134_R,,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
